[0.000000] (-) TimerEvent: {}
[0.000307] (-) JobUnselected: {'identifier': 'amathutils_lib'}
[0.000345] (-) JobUnselected: {'identifier': 'astar_search'}
[0.000365] (-) JobUnselected: {'identifier': 'autoware_bag_tools'}
[0.000389] (-) JobUnselected: {'identifier': 'autoware_build_flags'}
[0.001149] (-) JobUnselected: {'identifier': 'autoware_camera_lidar_calibrator'}
[0.001182] (-) JobUnselected: {'identifier': 'autoware_can_msgs'}
[0.001210] (-) JobUnselected: {'identifier': 'autoware_config_msgs'}
[0.001236] (-) JobUnselected: {'identifier': 'autoware_connector'}
[0.001261] (-) JobUnselected: {'identifier': 'autoware_external_msgs'}
[0.001286] (-) JobUnselected: {'identifier': 'autoware_health_checker'}
[0.001311] (-) JobUnselected: {'identifier': 'autoware_lanelet2_msgs'}
[0.001353] (-) JobUnselected: {'identifier': 'autoware_launcher'}
[0.001378] (-) JobUnselected: {'identifier': 'autoware_launcher_rviz'}
[0.001408] (-) JobUnselected: {'identifier': 'autoware_map_msgs'}
[0.001472] (-) JobUnselected: {'identifier': 'autoware_msgs'}
[0.001494] (-) JobUnselected: {'identifier': 'autoware_quickstart_examples'}
[0.001509] (-) JobUnselected: {'identifier': 'autoware_rviz_plugins'}
[0.001527] (-) JobUnselected: {'identifier': 'autoware_system_msgs'}
[0.001542] (-) JobUnselected: {'identifier': 'calibration_publisher'}
[0.001610] (-) JobUnselected: {'identifier': 'carla_autoware_bridge'}
[0.001626] (-) JobUnselected: {'identifier': 'costmap_generator'}
[0.001647] (-) JobUnselected: {'identifier': 'data_preprocessor'}
[0.001671] (-) JobUnselected: {'identifier': 'decision_maker'}
[0.001700] (-) JobUnselected: {'identifier': 'decision_maker_panel'}
[0.001741] (-) JobUnselected: {'identifier': 'detected_objects_visualizer'}
[0.001763] (-) JobUnselected: {'identifier': 'dp_planner'}
[0.001777] (-) JobUnselected: {'identifier': 'ekf_localizer'}
[0.001796] (-) JobUnselected: {'identifier': 'emergency_handler'}
[0.001810] (-) JobUnselected: {'identifier': 'fastvirtualscan'}
[0.001869] (-) JobUnselected: {'identifier': 'ff_waypoint_follower'}
[0.001884] (-) JobUnselected: {'identifier': 'gazebo_camera_description'}
[0.001903] (-) JobUnselected: {'identifier': 'gazebo_imu_description'}
[0.001928] (-) JobUnselected: {'identifier': 'gazebo_world_description'}
[0.001967] (-) JobUnselected: {'identifier': 'glviewer'}
[0.001987] (-) JobUnselected: {'identifier': 'gnss'}
[0.002002] (-) JobUnselected: {'identifier': 'gnss_localizer'}
[0.002020] (-) JobUnselected: {'identifier': 'graph_tools'}
[0.002035] (-) JobUnselected: {'identifier': 'image_processor'}
[0.002251] (-) JobUnselected: {'identifier': 'imm_ukf_pda_track'}
[0.002278] (-) JobUnselected: {'identifier': 'integrated_viewer'}
[0.002318] (-) JobUnselected: {'identifier': 'kitti_box_publisher'}
[0.002339] (-) JobUnselected: {'identifier': 'kitti_launch'}
[0.002354] (-) JobUnselected: {'identifier': 'kitti_player'}
[0.002372] (-) JobUnselected: {'identifier': 'lane_planner'}
[0.002386] (-) JobUnselected: {'identifier': 'lanelet2_extension'}
[0.002501] (-) JobUnselected: {'identifier': 'lanelet_aisan_converter'}
[0.002527] (-) JobUnselected: {'identifier': 'lattice_planner'}
[0.002566] (-) JobUnselected: {'identifier': 'lgsvl_simulator_bridge'}
[0.002587] (-) JobUnselected: {'identifier': 'libvectormap'}
[0.002601] (-) JobUnselected: {'identifier': 'libwaypoint_follower'}
[0.002620] (-) JobUnselected: {'identifier': 'lidar_apollo_cnn_seg_detect'}
[0.002635] (-) JobUnselected: {'identifier': 'lidar_euclidean_cluster_detect'}
[0.002723] (-) JobUnselected: {'identifier': 'lidar_fake_perception'}
[0.002749] (-) JobUnselected: {'identifier': 'lidar_kf_contour_track'}
[0.002786] (-) JobUnselected: {'identifier': 'lidar_localizer'}
[0.002807] (-) JobUnselected: {'identifier': 'lidar_naive_l_shape_detect'}
[0.002823] (-) JobUnselected: {'identifier': 'lidar_point_pillars'}
[0.002840] (-) JobUnselected: {'identifier': 'lidar_shape_estimation'}
[0.002855] (-) JobUnselected: {'identifier': 'll2_global_planner'}
[0.002962] (-) JobUnselected: {'identifier': 'log_tools'}
[0.002994] (-) JobUnselected: {'identifier': 'map_file'}
[0.003013] (-) JobUnselected: {'identifier': 'map_tf_generator'}
[0.003033] (-) JobUnselected: {'identifier': 'map_tools'}
[0.003048] (-) JobUnselected: {'identifier': 'marker_downsampler'}
[0.003451] (-) JobUnselected: {'identifier': 'mpc_follower'}
[0.003590] (-) JobUnselected: {'identifier': 'mqtt_socket'}
[0.003693] (-) JobUnselected: {'identifier': 'multi_lidar_calibrator'}
[0.003725] (-) JobUnselected: {'identifier': 'naive_motion_predict'}
[0.003752] (-) JobUnselected: {'identifier': 'ndt_cpu'}
[0.003778] (-) JobUnselected: {'identifier': 'ndt_gpu'}
[0.003804] (-) JobUnselected: {'identifier': 'ndt_tku'}
[0.003829] (-) JobUnselected: {'identifier': 'obj_db'}
[0.003853] (-) JobUnselected: {'identifier': 'object_map'}
[0.003878] (-) JobUnselected: {'identifier': 'oculus_socket'}
[0.003902] (-) JobUnselected: {'identifier': 'op_global_planner'}
[0.003927] (-) JobUnselected: {'identifier': 'op_local_planner'}
[0.003951] (-) JobUnselected: {'identifier': 'op_planner'}
[0.003976] (-) JobUnselected: {'identifier': 'op_ros_helpers'}
[0.004000] (-) JobUnselected: {'identifier': 'op_simu'}
[0.004025] (-) JobUnselected: {'identifier': 'op_simulation_package'}
[0.004049] (-) JobUnselected: {'identifier': 'op_utilities'}
[0.004090] (-) JobUnselected: {'identifier': 'op_utility'}
[0.004115] (-) JobUnselected: {'identifier': 'pc2_downsampler'}
[0.004188] (-) JobUnselected: {'identifier': 'pcl_omp_registration'}
[0.004204] (-) JobUnselected: {'identifier': 'pixel_cloud_fusion'}
[0.004227] (-) JobUnselected: {'identifier': 'points2image'}
[0.004288] (-) JobUnselected: {'identifier': 'points_downsampler'}
[0.004303] (-) JobUnselected: {'identifier': 'points_preprocessor'}
[0.004321] (-) JobUnselected: {'identifier': 'pos_db'}
[0.004336] (-) JobUnselected: {'identifier': 'pure_pursuit'}
[0.004359] (-) JobUnselected: {'identifier': 'range_vision_fusion'}
[0.004388] (-) JobUnselected: {'identifier': 'road_occupancy_processor'}
[0.004427] (-) JobUnselected: {'identifier': 'roi_object_filter'}
[0.004481] (-) JobUnselected: {'identifier': 'ros_observer'}
[0.004502] (-) JobUnselected: {'identifier': 'rosbag_controller'}
[0.004531] (-) JobUnselected: {'identifier': 'rosinterface'}
[0.004590] (-) JobUnselected: {'identifier': 'runtime_manager'}
[0.004606] (-) JobUnselected: {'identifier': 'sound_player'}
[0.004624] (-) JobUnselected: {'identifier': 'state_machine_lib'}
[0.004638] (-) JobUnselected: {'identifier': 'system_monitor'}
[0.004664] (-) JobUnselected: {'identifier': 'tablet_socket'}
[0.004703] (-) JobUnselected: {'identifier': 'tablet_socket_msgs'}
[0.004723] (-) JobUnselected: {'identifier': 'trafficlight_recognizer'}
[0.004738] (-) JobUnselected: {'identifier': 'twist2odom'}
[0.004756] (-) JobUnselected: {'identifier': 'twist_filter'}
[0.004771] (-) JobUnselected: {'identifier': 'twist_gate'}
[0.004994] (-) JobUnselected: {'identifier': 'twist_generator'}
[0.005150] (-) JobUnselected: {'identifier': 'udon_socket'}
[0.005209] (-) JobUnselected: {'identifier': 'vector_map'}
[0.005268] (-) JobUnselected: {'identifier': 'vector_map_msgs'}
[0.005305] (-) JobUnselected: {'identifier': 'vector_map_server'}
[0.005339] (-) JobUnselected: {'identifier': 'vehicle_description'}
[0.005373] (-) JobUnselected: {'identifier': 'vehicle_engage_panel'}
[0.005427] (-) JobUnselected: {'identifier': 'vehicle_gazebo_simulation_interface'}
[0.005474] (-) JobUnselected: {'identifier': 'vehicle_gazebo_simulation_launcher'}
[0.005507] (-) JobUnselected: {'identifier': 'vehicle_model'}
[0.005540] (-) JobUnselected: {'identifier': 'vehicle_sim_model'}
[0.005573] (-) JobUnselected: {'identifier': 'vehicle_socket'}
[0.005607] (-) JobUnselected: {'identifier': 'vel_pose_diff_checker'}
[0.005640] (-) JobUnselected: {'identifier': 'vision_beyond_track'}
[0.005673] (-) JobUnselected: {'identifier': 'vision_darknet_detect'}
[0.005705] (-) JobUnselected: {'identifier': 'vision_lane_detect'}
[0.005738] (-) JobUnselected: {'identifier': 'vision_segment_enet_detect'}
[0.005771] (-) JobUnselected: {'identifier': 'vision_ssd_detect'}
[0.006577] (-) JobUnselected: {'identifier': 'way_planner'}
[0.006602] (-) JobUnselected: {'identifier': 'waypoint_maker'}
[0.006633] (-) JobUnselected: {'identifier': 'waypoint_planner'}
[0.006675] (-) JobUnselected: {'identifier': 'wf_simulator'}
[0.006699] (freespace_planner) JobQueued: {'identifier': 'freespace_planner', 'dependencies': OrderedDict([('autoware_build_flags', '/home/ros/autoware.ai/install/autoware_build_flags'), ('autoware_lanelet2_msgs', '/home/ros/autoware.ai/install/autoware_lanelet2_msgs'), ('autoware_msgs', '/home/ros/autoware.ai/install/autoware_msgs'), ('vector_map_msgs', '/home/ros/autoware.ai/install/vector_map_msgs'), ('amathutils_lib', '/home/ros/autoware.ai/install/amathutils_lib'), ('astar_search', '/home/ros/autoware.ai/install/astar_search'), ('vector_map', '/home/ros/autoware.ai/install/vector_map'), ('lanelet2_extension', '/home/ros/autoware.ai/install/lanelet2_extension'), ('libwaypoint_follower', '/home/ros/autoware.ai/install/libwaypoint_follower'), ('vector_map_server', '/home/ros/autoware.ai/install/vector_map_server'), ('map_file', '/home/ros/autoware.ai/install/map_file'), ('op_utility', '/home/ros/autoware.ai/install/op_utility'), ('op_planner', '/home/ros/autoware.ai/install/op_planner'), ('op_simu', '/home/ros/autoware.ai/install/op_simu'), ('op_ros_helpers', '/home/ros/autoware.ai/install/op_ros_helpers')])}
[0.006734] (freespace_planner) JobStarted: {'identifier': 'freespace_planner'}
[0.099172] (-) TimerEvent: {}
[0.165249] (freespace_planner) JobProgress: {'identifier': 'freespace_planner', 'progress': 'cmake'}
[0.166079] (freespace_planner) JobProgress: {'identifier': 'freespace_planner', 'progress': 'build'}
