[0.000000] (-) TimerEvent: {}
[0.001016] (-) JobUnselected: {'identifier': 'amathutils_lib'}
[0.001530] (-) JobUnselected: {'identifier': 'astar_search'}
[0.001731] (-) JobUnselected: {'identifier': 'autoware_bag_tools'}
[0.001769] (-) JobUnselected: {'identifier': 'autoware_build_flags'}
[0.001798] (-) JobUnselected: {'identifier': 'autoware_camera_lidar_calibrator'}
[0.001825] (-) JobUnselected: {'identifier': 'autoware_can_msgs'}
[0.001850] (-) JobUnselected: {'identifier': 'autoware_config_msgs'}
[0.001876] (-) JobUnselected: {'identifier': 'autoware_connector'}
[0.001902] (-) JobUnselected: {'identifier': 'autoware_external_msgs'}
[0.001947] (-) JobUnselected: {'identifier': 'autoware_health_checker'}
[0.001974] (-) JobUnselected: {'identifier': 'autoware_lanelet2_msgs'}
[0.001999] (-) JobUnselected: {'identifier': 'autoware_launcher'}
[0.002025] (-) JobUnselected: {'identifier': 'autoware_launcher_rviz'}
[0.002051] (-) JobUnselected: {'identifier': 'autoware_map_msgs'}
[0.002077] (-) JobUnselected: {'identifier': 'autoware_msgs'}
[0.002103] (-) JobUnselected: {'identifier': 'autoware_quickstart_examples'}
[0.002128] (-) JobUnselected: {'identifier': 'autoware_rviz_plugins'}
[0.002154] (-) JobUnselected: {'identifier': 'autoware_system_msgs'}
[0.002179] (-) JobUnselected: {'identifier': 'calibration_publisher'}
[0.002206] (-) JobUnselected: {'identifier': 'carla_autoware_bridge'}
[0.002242] (-) JobUnselected: {'identifier': 'costmap_generator'}
[0.002272] (-) JobUnselected: {'identifier': 'data_preprocessor'}
[0.002303] (-) JobUnselected: {'identifier': 'decision_maker'}
[0.002374] (-) JobUnselected: {'identifier': 'decision_maker_panel'}
[0.002390] (-) JobUnselected: {'identifier': 'detected_objects_visualizer'}
[0.002410] (-) JobUnselected: {'identifier': 'dp_planner'}
[0.002425] (-) JobUnselected: {'identifier': 'ekf_localizer'}
[0.002494] (-) JobUnselected: {'identifier': 'emergency_handler'}
[0.002511] (-) JobUnselected: {'identifier': 'fastvirtualscan'}
[0.002530] (-) JobUnselected: {'identifier': 'ff_waypoint_follower'}
[0.002545] (-) JobUnselected: {'identifier': 'freespace_planner'}
[0.002570] (-) JobUnselected: {'identifier': 'gazebo_camera_description'}
[0.002624] (-) JobUnselected: {'identifier': 'gazebo_imu_description'}
[0.002647] (-) JobUnselected: {'identifier': 'gazebo_world_description'}
[0.002663] (-) JobUnselected: {'identifier': 'glviewer'}
[0.002682] (-) JobUnselected: {'identifier': 'graph_tools'}
[0.002697] (-) JobUnselected: {'identifier': 'image_processor'}
[0.002758] (-) JobUnselected: {'identifier': 'imm_ukf_pda_track'}
[0.002774] (-) JobUnselected: {'identifier': 'integrated_viewer'}
[0.002790] (-) JobUnselected: {'identifier': 'kitti_box_publisher'}
[0.002809] (-) JobUnselected: {'identifier': 'kitti_launch'}
[0.002824] (-) JobUnselected: {'identifier': 'kitti_player'}
[0.002850] (-) JobUnselected: {'identifier': 'lane_planner'}
[0.002890] (-) JobUnselected: {'identifier': 'lanelet2_extension'}
[0.002912] (-) JobUnselected: {'identifier': 'lanelet_aisan_converter'}
[0.002927] (-) JobUnselected: {'identifier': 'lattice_planner'}
[0.002946] (-) JobUnselected: {'identifier': 'lgsvl_simulator_bridge'}
[0.002962] (-) JobUnselected: {'identifier': 'libvectormap'}
[0.003273] (-) JobUnselected: {'identifier': 'libwaypoint_follower'}
[0.003302] (-) JobUnselected: {'identifier': 'lidar_apollo_cnn_seg_detect'}
[0.003344] (-) JobUnselected: {'identifier': 'lidar_euclidean_cluster_detect'}
[0.003366] (-) JobUnselected: {'identifier': 'lidar_fake_perception'}
[0.003381] (-) JobUnselected: {'identifier': 'lidar_kf_contour_track'}
[0.003400] (-) JobUnselected: {'identifier': 'lidar_localizer'}
[0.003415] (-) JobUnselected: {'identifier': 'lidar_naive_l_shape_detect'}
[0.003531] (-) JobUnselected: {'identifier': 'lidar_point_pillars'}
[0.003559] (-) JobUnselected: {'identifier': 'lidar_shape_estimation'}
[0.003619] (-) JobUnselected: {'identifier': 'll2_global_planner'}
[0.003720] (-) JobUnselected: {'identifier': 'log_tools'}
[0.003742] (-) JobUnselected: {'identifier': 'map_file'}
[0.003768] (-) JobUnselected: {'identifier': 'map_tf_generator'}
[0.003877] (-) JobUnselected: {'identifier': 'map_tools'}
[0.003904] (-) JobUnselected: {'identifier': 'marker_downsampler'}
[0.003944] (-) JobUnselected: {'identifier': 'mpc_follower'}
[0.003966] (-) JobUnselected: {'identifier': 'mqtt_socket'}
[0.003981] (-) JobUnselected: {'identifier': 'multi_lidar_calibrator'}
[0.004000] (-) JobUnselected: {'identifier': 'naive_motion_predict'}
[0.004015] (-) JobUnselected: {'identifier': 'ndt_cpu'}
[0.004208] (-) JobUnselected: {'identifier': 'ndt_gpu'}
[0.004257] (-) JobUnselected: {'identifier': 'ndt_tku'}
[0.004281] (-) JobUnselected: {'identifier': 'obj_db'}
[0.004795] (-) JobUnselected: {'identifier': 'object_map'}
[0.004942] (-) JobUnselected: {'identifier': 'oculus_socket'}
[0.004977] (-) JobUnselected: {'identifier': 'op_global_planner'}
[0.005004] (-) JobUnselected: {'identifier': 'op_local_planner'}
[0.005030] (-) JobUnselected: {'identifier': 'op_planner'}
[0.005055] (-) JobUnselected: {'identifier': 'op_ros_helpers'}
[0.005080] (-) JobUnselected: {'identifier': 'op_simu'}
[0.005104] (-) JobUnselected: {'identifier': 'op_simulation_package'}
[0.005129] (-) JobUnselected: {'identifier': 'op_utilities'}
[0.005154] (-) JobUnselected: {'identifier': 'op_utility'}
[0.005178] (-) JobUnselected: {'identifier': 'pc2_downsampler'}
[0.005203] (-) JobUnselected: {'identifier': 'pcl_omp_registration'}
[0.005227] (-) JobUnselected: {'identifier': 'pixel_cloud_fusion'}
[0.005251] (-) JobUnselected: {'identifier': 'points2image'}
[0.005281] (-) JobUnselected: {'identifier': 'points_downsampler'}
[0.005306] (-) JobUnselected: {'identifier': 'points_preprocessor'}
[0.005350] (-) JobUnselected: {'identifier': 'pos_db'}
[0.005376] (-) JobUnselected: {'identifier': 'pure_pursuit'}
[0.005418] (-) JobUnselected: {'identifier': 'range_vision_fusion'}
[0.005443] (-) JobUnselected: {'identifier': 'road_occupancy_processor'}
[0.005473] (-) JobUnselected: {'identifier': 'roi_object_filter'}
[0.005536] (-) JobUnselected: {'identifier': 'ros_observer'}
[0.005552] (-) JobUnselected: {'identifier': 'rosbag_controller'}
[0.005571] (-) JobUnselected: {'identifier': 'rosinterface'}
[0.005586] (-) JobUnselected: {'identifier': 'runtime_manager'}
[0.005647] (-) JobUnselected: {'identifier': 'sound_player'}
[0.005662] (-) JobUnselected: {'identifier': 'state_machine_lib'}
[0.005682] (-) JobUnselected: {'identifier': 'system_monitor'}
[0.005718] (-) JobUnselected: {'identifier': 'tablet_socket'}
[0.005761] (-) JobUnselected: {'identifier': 'tablet_socket_msgs'}
[0.005783] (-) JobUnselected: {'identifier': 'trafficlight_recognizer'}
[0.005798] (-) JobUnselected: {'identifier': 'twist2odom'}
[0.005817] (-) JobUnselected: {'identifier': 'twist_filter'}
[0.005832] (-) JobUnselected: {'identifier': 'twist_gate'}
[0.005891] (-) JobUnselected: {'identifier': 'twist_generator'}
[0.005907] (-) JobUnselected: {'identifier': 'udon_socket'}
[0.005926] (-) JobUnselected: {'identifier': 'vector_map'}
[0.005953] (-) JobUnselected: {'identifier': 'vector_map_msgs'}
[0.005992] (-) JobUnselected: {'identifier': 'vector_map_server'}
[0.006014] (-) JobUnselected: {'identifier': 'vehicle_description'}
[0.006029] (-) JobUnselected: {'identifier': 'vehicle_engage_panel'}
[0.006047] (-) JobUnselected: {'identifier': 'vehicle_gazebo_simulation_interface'}
[0.006062] (-) JobUnselected: {'identifier': 'vehicle_gazebo_simulation_launcher'}
[0.006285] (-) JobUnselected: {'identifier': 'vehicle_model'}
[0.006459] (-) JobUnselected: {'identifier': 'vehicle_sim_model'}
[0.006551] (-) JobUnselected: {'identifier': 'vehicle_socket'}
[0.007459] (-) JobUnselected: {'identifier': 'vel_pose_diff_checker'}
[0.007517] (-) JobUnselected: {'identifier': 'vision_beyond_track'}
[0.007598] (-) JobUnselected: {'identifier': 'vision_darknet_detect'}
[0.007621] (-) JobUnselected: {'identifier': 'vision_lane_detect'}
[0.007636] (-) JobUnselected: {'identifier': 'vision_segment_enet_detect'}
[0.007657] (-) JobUnselected: {'identifier': 'vision_ssd_detect'}
[0.007721] (-) JobUnselected: {'identifier': 'way_planner'}
[0.007742] (-) JobUnselected: {'identifier': 'waypoint_maker'}
[0.007762] (-) JobUnselected: {'identifier': 'waypoint_planner'}
[0.007790] (-) JobUnselected: {'identifier': 'wf_simulator'}
[0.007834] (gnss) JobQueued: {'identifier': 'gnss', 'dependencies': OrderedDict()}
[0.007861] (gnss_localizer) JobQueued: {'identifier': 'gnss_localizer', 'dependencies': OrderedDict([('autoware_build_flags', '/home/ros/autoware.ai/install/autoware_build_flags'), ('gnss', '/home/ros/autoware.ai/install/gnss')])}
[0.007882] (gnss) JobStarted: {'identifier': 'gnss'}
[0.021752] (gnss) JobProgress: {'identifier': 'gnss', 'progress': 'cmake'}
[0.022292] (gnss) JobProgress: {'identifier': 'gnss', 'progress': 'build'}
